TransactionID,CustID,Date,Employee,ProductID,ProductName,VendorID,ProductVendor,UnitPrice,Quantity,Subtotal,Tax(8%),OrderTotal,Month
10396,19,2023-12-27,Nancy Davolio,72,Mozzarella di Giovanni,14,Formaggi Fortini s.r.l.,27.8,21,583.8,46.7,630.5,2023-12
10400,11,2024-01-01,Nancy Davolio,29,Thringer Rostbratwurst,12,Plutzer Lebensmittelgromrkte AG,99.0,21,2079.0,166.32,2245.32,2024-01
10401,7,2024-01-01,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,20.7,18,372.6,29.81,402.41,2024-01
10401,7,2024-01-01,Nancy Davolio,65,Louisiana Fiery Hot Pepper Sauce,2,New Orleans Cajun Delights,16.8,20,336.0,26.88,362.88,2024-01
10453,20,2024-02-21,Nancy Davolio,48,Chocolade,22,Zaanse Snoepfabriek,10.2,15,153.0,12.24,165.24,2024-02
10465,21,2024-03-05,Nancy Davolio,29,Thringer Rostbratwurst,12,Plutzer Lebensmittelgromrkte AG,99.0,18,1782.0,142.56,1924.56,2024-03
10465,21,2024-03-05,Nancy Davolio,40,Boston Crab Meat,19,New England Seafood Cannery,14.7,20,294.0,23.52,317.52,2024-03
10469,22,2024-03-10,Nancy Davolio,44,Gula Malacca,20,Leka Trading,15.5,2,31.0,2.48,33.48,2024-03
10473,23,2024-03-13,Nancy Davolio,33,Geitost,15,Norske Meierier,2.0,12,24.0,1.92,25.92,2024-03
10473,23,2024-03-13,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,12,206.4,16.51,222.91,2024-03
10482,24,2024-03-21,Nancy Davolio,40,Boston Crab Meat,19,New England Seafood Cannery,14.7,10,147.0,11.76,158.76,2024-03
10486,25,2024-03-26,Nancy Davolio,11,Queso Cabrales,5,Cooperativa de Quesos 'Las Cabras',16.8,5,84.0,6.72,90.72,2024-03
10486,25,2024-03-26,Nancy Davolio,74,Longlife Tofu,4,Tokyo Traders,8.0,16,128.0,10.24,138.24,2024-03
10508,26,2024-04-16,Nancy Davolio,13,Konbu,6,Mayumi's,6.0,10,60.0,4.8,64.8,2024-04
10508,26,2024-04-16,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,18.0,10,180.0,14.4,194.4,2024-04
10524,27,2024-05-01,Nancy Davolio,10,Ikura,4,Tokyo Traders,31.0,2,62.0,4.96,66.96,2024-05
10524,27,2024-05-01,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,25.89,10,258.9,20.71,279.61,2024-05
10524,27,2024-05-01,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,15,111.75,8.94,120.69,2024-05
10525,9,2024-05-02,Nancy Davolio,40,Boston Crab Meat,19,New England Seafood Cannery,18.4,15,276.0,22.08,298.08,2024-05
10537,28,2024-05-14,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53.0,6,318.0,25.44,343.44,2024-05
10537,28,2024-05-14,Nancy Davolio,58,Escargots de Bourgogne,27,Escargots Nouveaux,13.25,20,265.0,21.2,286.2,2024-05
10537,28,2024-05-14,Nancy Davolio,72,Mozzarella di Giovanni,14,Formaggi Fortini s.r.l.,34.8,21,730.8,58.46,789.26,2024-05
10537,28,2024-05-14,Nancy Davolio,73,Rd Kaviar,17,Svensk Sjfda AB,15.0,9,135.0,10.8,145.8,2024-05
10542,8,2024-05-20,Nancy Davolio,11,Queso Cabrales,5,Cooperativa de Quesos 'Las Cabras',21.0,15,315.0,25.2,340.2,2024-05
10542,8,2024-05-20,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,24,178.8,14.3,193.1,2024-05
10546,29,2024-05-23,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30.0,10,300.0,24.0,324.0,2024-05
10558,20,2024-06-04,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53.0,20,1060.0,84.8,1144.8,2024-06
10558,20,2024-06-04,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",32.8,18,590.4,47.23,637.63,2024-06
10558,20,2024-06-04,Nancy Davolio,73,Rd Kaviar,17,Svensk Sjfda AB,15.0,3,45.0,3.6,48.6,2024-06
10562,30,2024-06-09,Nancy Davolio,33,Geitost,15,Norske Meierier,2.5,20,50.0,4.0,54.0,2024-06
10562,30,2024-06-09,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,10,493.0,39.44,532.44,2024-06
10567,31,2024-06-12,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53.0,3,159.0,12.72,171.72,2024-06
10579,32,2024-06-25,Nancy Davolio,15,Genen Shouyu,6,Mayumi's,15.5,10,155.0,12.4,167.4,2024-06
10579,32,2024-06-25,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,7.75,21,162.75,13.02,175.77,2024-06
10587,33,2024-07-02,Nancy Davolio,26,Gumbr Gummibrchen,11,Heli Swaren GmbH & Co. KG,31.23,6,187.38,14.99,202.37,2024-07
10587,33,2024-07-02,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18.0,20,360.0,28.8,388.8,2024-07
10587,33,2024-07-02,Nancy Davolio,77,Original Frankfurter grne Soe,12,Plutzer Lebensmittelgromrkte AG,13.0,20,260.0,20.8,280.8,2024-07
10591,21,2024-07-07,Nancy Davolio,3,Aniseed Syrup,1,Exotic Liquids,10.0,14,140.0,11.2,151.2,2024-07
10591,21,2024-07-07,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30.0,10,300.0,24.0,324.0,2024-07
10598,7,2024-07-14,Nancy Davolio,71,Flotemysost,15,Norske Meierier,21.5,9,193.5,15.48,208.98,2024-07
10604,34,2024-07-18,Nancy Davolio,48,Chocolade,22,Zaanse Snoepfabriek,12.75,6,76.5,6.12,82.62,2024-07
10604,34,2024-07-18,Nancy Davolio,76,Lakkalikri,23,Karkki Oy,18.0,10,180.0,14.4,194.4,2024-07
10605,35,2024-07-21,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,55.0,20,1100.0,88.0,1188.0,2024-07
10605,35,2024-07-21,Nancy Davolio,71,Flotemysost,15,Norske Meierier,21.5,15,322.5,25.8,348.3,2024-07
10612,17,2024-07-28,Nancy Davolio,49,Maxilaku,23,Karkki Oy,20.0,18,360.0,28.8,388.8,2024-07
10616,36,2024-07-31,Nancy Davolio,38,Cte de Blaye,18,Aux joyeux ecclsiastiques,263.5,15,3952.5,316.2,4268.7,2024-07
10616,36,2024-07-31,Nancy Davolio,56,Gnocchi di nonna Alice,26,Pasta Buttini s.r.l.,38.0,14,532.0,42.56,574.56,2024-07
10616,36,2024-07-31,Nancy Davolio,70,Outback Lager,7,"Pavlova, Ltd.",15.0,15,225.0,18.0,243.0,2024-07
10616,36,2024-07-31,Nancy Davolio,71,Flotemysost,15,Norske Meierier,21.5,15,322.5,25.8,348.3,2024-07
10618,35,2024-08-01,Nancy Davolio,56,Gnocchi di nonna Alice,26,Pasta Buttini s.r.l.,38.0,20,760.0,60.8,820.8,2024-08
10618,35,2024-08-01,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,15,187.5,15.0,202.5,2024-08
10626,27,2024-08-11,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",32.8,12,393.6,31.49,425.09,2024-08
10626,27,2024-08-11,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34.0,20,680.0,54.4,734.4,2024-08
10626,27,2024-08-11,Nancy Davolio,71,Flotemysost,15,Norske Meierier,21.5,20,430.0,34.4,464.4,2024-08
10630,8,2024-08-13,Nancy Davolio,55,Pt chinois,25,Ma Maison,24.0,12,288.0,23.04,311.04,2024-08
10653,19,2024-09-02,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34.0,20,680.0,54.4,734.4,2024-09
10655,30,2024-09-03,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,20,193.0,15.44,208.44,2024-09
10664,34,2024-09-10,Nancy Davolio,10,Ikura,4,Tokyo Traders,31.0,24,744.0,59.52,803.52,2024-09
10664,34,2024-09-10,Nancy Davolio,56,Gnocchi di nonna Alice,26,Pasta Buttini s.r.l.,38.0,12,456.0,36.48,492.48,2024-09
10664,34,2024-09-10,Nancy Davolio,65,Louisiana Fiery Hot Pepper Sauce,2,New Orleans Cajun Delights,21.05,15,315.75,25.26,341.01,2024-09
10665,37,2024-09-11,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53.0,20,1060.0,84.8,1144.8,2024-09
10665,37,2024-09-11,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,55.0,1,55.0,4.4,59.4,2024-09
10665,37,2024-09-11,Nancy Davolio,76,Lakkalikri,23,Karkki Oy,18.0,10,180.0,14.4,194.4,2024-09
10668,38,2024-09-15,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,12.5,8,100.0,8.0,108.0,2024-09
10668,38,2024-09-15,Nancy Davolio,55,Pt chinois,25,Ma Maison,24.0,4,96.0,7.68,103.68,2024-09
10668,38,2024-09-15,Nancy Davolio,64,Wimmers gute Semmelkndel,12,Plutzer Lebensmittelgromrkte AG,33.25,15,498.75,39.9,538.65,2024-09
10671,39,2024-09-17,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,10,174.5,13.96,188.46,2024-09
10671,39,2024-09-17,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,10,493.0,39.44,532.44,2024-09
10671,39,2024-09-17,Nancy Davolio,65,Louisiana Fiery Hot Pepper Sauce,2,New Orleans Cajun Delights,21.05,12,252.6,20.21,272.81,2024-09
10677,40,2024-09-22,Nancy Davolio,33,Geitost,15,Norske Meierier,2.5,8,20.0,1.6,21.6,2024-09
10680,41,2024-09-24,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,12.5,20,250.0,20.0,270.0,2024-09
10690,42,2024-10-02,Nancy Davolio,56,Gnocchi di nonna Alice,26,Pasta Buttini s.r.l.,38.0,20,760.0,60.8,820.8,2024-10
10709,43,2024-10-17,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34.0,10,340.0,27.2,367.2,2024-10
10710,44,2024-10-20,Nancy Davolio,19,Teatime Chocolate Biscuits,8,"Specialty Biscuits, Ltd.",9.2,5,46.0,3.68,49.68,2024-10
10710,44,2024-10-20,Nancy Davolio,47,Zaanse koeken,22,Zaanse Snoepfabriek,9.5,5,47.5,3.8,51.3,2024-10
10713,17,2024-10-22,Nancy Davolio,10,Ikura,4,Tokyo Traders,31.0,18,558.0,44.64,602.64,2024-10
10713,17,2024-10-22,Nancy Davolio,46,Spegesild,21,Lyngbysild,12.0,24,288.0,23.04,311.04,2024-10
10717,19,2024-10-24,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,15,111.75,8.94,120.69,2024-10
10718,8,2024-10-27,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,20,349.0,27.92,376.92,2024-10
10718,8,2024-10-27,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,20,986.0,78.88,1064.88,2024-10
10733,27,2024-11-07,Nancy Davolio,14,Tofu,6,Mayumi's,23.25,16,372.0,29.76,401.76,2024-11
10733,27,2024-11-07,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,45.6,20,912.0,72.96,984.96,2024-11
10746,45,2024-11-19,Nancy Davolio,13,Konbu,6,Mayumi's,6.0,6,36.0,2.88,38.88,2024-11
10746,45,2024-11-19,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,9,443.7,35.5,479.2,2024-11
10773,1,2024-12-11,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,7.75,7,54.25,4.34,58.59,2024-12
10776,1,2024-12-15,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,12.5,16,200.0,16.0,216.0,2024-12
10776,1,2024-12-15,Nancy Davolio,42,Singaporean Hokkien Fried Mee,20,Leka Trading,14.0,12,168.0,13.44,181.44,2024-12
10785,46,2024-12-18,Nancy Davolio,10,Ikura,4,Tokyo Traders,31.0,10,310.0,24.8,334.8,2024-12
10785,46,2024-12-18,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,7.75,10,77.5,6.2,83.7,2024-12
10789,47,2024-12-22,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18.0,15,270.0,21.6,291.6,2024-12
10789,47,2024-12-22,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,18,225.0,18.0,243.0,2024-12
10792,13,2024-12-23,Nancy Davolio,2,Chang,1,Exotic Liquids,19.0,10,190.0,15.2,205.2,2024-12
10792,13,2024-12-23,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,3,22.35,1.79,24.14,2024-12
10792,13,2024-12-23,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,15,187.5,15.0,202.5,2024-12
10800,14,2024-12-26,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53.0,10,530.0,42.4,572.4,2024-12
10800,14,2024-12-26,Nancy Davolio,54,Tourtire,25,Ma Maison,7.45,7,52.15,4.17,56.32,2024-12
10813,48,2025-01-05,Nancy Davolio,2,Chang,1,Exotic Liquids,19.0,12,228.0,18.24,246.24,2025-01
10821,15,2025-01-08,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18.0,20,360.0,28.8,388.8,2025-01
10821,15,2025-01-08,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53.0,6,318.0,25.44,343.44,2025-01
10825,49,2025-01-09,Nancy Davolio,26,Gumbr Gummibrchen,11,Heli Swaren GmbH & Co. KG,31.23,12,374.76,29.98,404.74,2025-01
10825,49,2025-01-09,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",32.8,20,656.0,52.48,708.48,2025-01
10827,9,2025-01-12,Nancy Davolio,10,Ikura,4,Tokyo Traders,31.0,15,465.0,37.2,502.2,2025-01
10827,9,2025-01-12,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,18.0,21,378.0,30.24,408.24,2025-01
10834,3,2025-01-15,Nancy Davolio,29,Thringer Rostbratwurst,12,Plutzer Lebensmittelgromrkte AG,123.79,8,990.32,79.23,1069.55,2025-01
10834,3,2025-01-15,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,25.89,20,517.8,41.42,559.22,2025-01
10835,50,2025-01-15,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,55.0,15,825.0,66.0,891.0,2025-01
10835,50,2025-01-15,Nancy Davolio,77,Original Frankfurter grne Soe,12,Plutzer Lebensmittelgromrkte AG,13.0,2,26.0,2.08,28.08,2025-01
10842,4,2025-01-20,Nancy Davolio,11,Queso Cabrales,5,Cooperativa de Quesos 'Las Cabras',21.0,15,315.0,25.2,340.2,2025-01
10842,4,2025-01-20,Nancy Davolio,43,Ipoh Coffee,20,Leka Trading,46.0,5,230.0,18.4,248.4,2025-01
10842,4,2025-01-20,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,20,250.0,20.0,270.0,2025-01
10842,4,2025-01-20,Nancy Davolio,70,Outback Lager,7,"Pavlova, Ltd.",15.0,12,180.0,14.4,194.4,2025-01
10850,29,2025-01-23,Nancy Davolio,25,NuNuCa Nu-Nougat-Creme,11,Heli Swaren GmbH & Co. KG,14.0,20,280.0,22.4,302.4,2025-01
10850,29,2025-01-23,Nancy Davolio,33,Geitost,15,Norske Meierier,2.5,4,10.0,0.8,10.8,2025-01
10888,51,2025-02-16,Nancy Davolio,2,Chang,1,Exotic Liquids,19.0,20,380.0,30.4,410.4,2025-02
10888,51,2025-02-16,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",12.5,18,225.0,18.0,243.0,2025-02
10900,52,2025-02-20,Nancy Davolio,70,Outback Lager,7,"Pavlova, Ltd.",15.0,3,45.0,3.6,48.6,2025-02
10902,53,2025-02-23,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,6,295.8,23.66,319.46,2025-02
10909,16,2025-02-26,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30.0,12,360.0,28.8,388.8,2025-02
10909,16,2025-02-26,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,15,261.75,20.94,282.69,2025-02
10909,16,2025-02-26,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,5,48.25,3.86,52.11,2025-02
10910,54,2025-02-26,Nancy Davolio,19,Teatime Chocolate Biscuits,8,"Specialty Biscuits, Ltd.",9.2,12,110.4,8.83,119.23,2025-02
10910,54,2025-02-26,Nancy Davolio,49,Maxilaku,23,Karkki Oy,20.0,10,200.0,16.0,216.0,2025-02
10910,54,2025-02-26,Nancy Davolio,61,Sirop d'rable,29,Forts d'rables,28.5,5,142.5,11.4,153.9,2025-02
10916,55,2025-02-27,Nancy Davolio,16,Pavlova,7,"Pavlova, Ltd.",17.45,6,104.7,8.38,113.08,2025-02
10916,55,2025-02-27,Nancy Davolio,32,Mascarpone Fabioli,14,Formaggi Fortini s.r.l.,32.0,6,192.0,15.36,207.36,2025-02
10916,55,2025-02-27,Nancy Davolio,57,Ravioli Angelo,26,Pasta Buttini s.r.l.,19.5,20,390.0,31.2,421.2,2025-02
10921,21,2025-03-03,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18.0,10,180.0,14.4,194.4,2025-03
10928,56,2025-03-05,Nancy Davolio,47,Zaanse koeken,22,Zaanse Snoepfabriek,9.5,5,47.5,3.8,51.3,2025-03
10928,56,2025-03-05,Nancy Davolio,76,Lakkalikri,23,Karkki Oy,18.0,5,90.0,7.2,97.2,2025-03
10950,2,2025-03-16,Nancy Davolio,4,Chef Anton's Cajun Seasoning,2,New Orleans Cajun Delights,22.0,5,110.0,8.8,118.8,2025-03
10952,50,2025-03-16,Nancy Davolio,6,Grandma's Boysenberry Spread,3,Grandma Kelly's Homestead,25.0,16,400.0,32.0,432.0,2025-03
10952,50,2025-03-16,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,45.6,2,91.2,7.3,98.5,2025-03
10968,1,2025-03-23,Nancy Davolio,64,Wimmers gute Semmelkndel,12,Plutzer Lebensmittelgromrkte AG,33.25,4,133.0,10.64,143.64,2025-03
10969,57,2025-03-23,Nancy Davolio,46,Spegesild,21,Lyngbysild,12.0,9,108.0,8.64,116.64,2025-03
10975,58,2025-03-25,Nancy Davolio,8,Northwoods Cranberry Sauce,3,Grandma Kelly's Homestead,40.0,16,640.0,51.2,691.2,2025-03
10975,58,2025-03-25,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,7.75,10,77.5,6.2,83.7,2025-03
10976,25,2025-03-25,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,45.6,20,912.0,72.96,984.96,2025-03
10984,17,2025-03-30,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,4.5,20,90.0,7.2,97.2,2025-03
10991,59,2025-04-01,Nancy Davolio,70,Outback Lager,7,"Pavlova, Ltd.",15.0,20,300.0,24.0,324.0,2025-04
10992,60,2025-04-01,Nancy Davolio,72,Mozzarella di Giovanni,14,Formaggi Fortini s.r.l.,34.8,2,69.6,5.57,75.17,2025-04
10995,61,2025-04-02,Nancy Davolio,51,Manjimup Dried Apples,24,"G'day, Mate",53.0,20,1060.0,84.8,1144.8,2025-04
10995,61,2025-04-02,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,34.0,4,136.0,10.88,146.88,2025-04
11023,62,2025-04-14,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30.0,4,120.0,9.6,129.6,2025-04
11027,58,2025-04-16,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,49.3,21,1035.3,82.82,1118.12,2025-04
11038,63,2025-04-21,Nancy Davolio,40,Boston Crab Meat,19,New England Seafood Cannery,18.4,5,92.0,7.36,99.36,2025-04
11038,63,2025-04-21,Nancy Davolio,52,Filo Mix,24,"G'day, Mate",7.0,2,14.0,1.12,15.12,2025-04
11039,64,2025-04-21,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,45.6,20,912.0,72.96,984.96,2025-04
11039,64,2025-04-21,Nancy Davolio,35,Steeleye Stout,16,Bigfoot Breweries,18.0,24,432.0,34.56,466.56,2025-04
11064,17,2025-05-01,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,12,115.8,9.26,125.06,2025-05
11064,17,2025-05-01,Nancy Davolio,55,Pt chinois,25,Ma Maison,24.0,4,96.0,7.68,103.68,2025-05
11067,49,2025-05-04,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,9.65,9,86.85,6.95,93.8,2025-05
11069,4,2025-05-04,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,18.0,20,360.0,28.8,388.8,2025-05
11071,10,2025-05-05,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,30.0,15,450.0,36.0,486.0,2025-05
